Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA50,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume,VMA5,VMA20,Volume_Osc,Previous day open price,Change in open price,Percent change in open price,Previous day high price,Change in high price,Percent change in high price,Previous day low price,Change in low price,Percent change in low price
2025-02-03,229.99,231.83,225.7,228.01,226.98,73063300.0,,,,,,,,,,,,,,,,,,,,,
2025-02-04,227.25,233.13,226.65,232.8,231.75,45067300.0,,,,228.01,4.7900000000000205,0.021007850532871464,73063300.0,-27996000.0,-0.38317458970509133,,,,229.99,-2.740000000000009,-0.011913561459193867,231.83,1.299999999999983,0.005607557261786633,225.7,0.950000000000017,0.004209127159946924
2025-02-05,228.53,232.67,228.27,232.47,231.42,39620300.0,,,,232.8,-0.3300000000000125,-0.0014175257731959823,45067300.0,-5447000.0,-0.12086368608725173,,,,227.25,1.2800000000000011,0.005632563256325662,233.13,-0.46000000000000796,-0.0019731480289967296,226.65,1.6200000000000045,0.0071475843812045525
2025-02-06,231.29,233.8,230.43,233.22,232.17,29925300.0,,,,232.47,0.75,0.003226222738417883,39620300.0,-9695000.0,-0.24469779380771983,,,,228.53,2.759999999999991,0.012077188990504473,232.67,1.1300000000000239,0.004856663944642792,228.27,2.1599999999999966,0.009462478643711414
2025-02-07,232.6,234.0,227.26,227.63,226.61,39707200.0,230.82600000000002,,,233.22,-5.590000000000003,-0.023968784838350077,29925300.0,9781900.0,0.32687725770501874,45476680.0,,,231.29,1.3100000000000023,0.005663885165809068,233.8,0.19999999999998863,0.0008554319931564081,230.43,-3.170000000000016,-0.01375688929392882
2025-02-10,229.57,230.59,227.2,227.65,226.87,33115600.0,230.754,,,227.63,0.020000000000010232,8.786188112286375e-05,39707200.0,-6591600.0,-0.16600515775476488,37487140.0,,,232.6,-3.030000000000001,-0.013026655202063586,234.0,-3.4099999999999966,-0.014572649572649587,227.26,-0.060000000000002274,-0.0002640147848279595
2025-02-11,228.2,235.23,228.13,232.62,231.83,53718400.0,230.71800000000002,,,227.65,4.969999999999999,0.021831759279595797,33115600.0,20602800.0,0.622147869886096,39217360.0,,,229.57,-1.3700000000000045,-0.005967678703663437,230.59,4.639999999999986,0.02012229498243623,227.2,0.9300000000000068,0.004093309859154903
2025-02-12,231.2,236.96,230.68,236.87,236.06,45243300.0,231.598,,,232.62,4.25,0.018270140142722102,53718400.0,-8475100.0,-0.15776903258473818,40341960.0,,,228.2,3.0,0.013146362839614456,235.23,1.7300000000000182,0.007354504102367931,228.13,2.5500000000000114,0.011177837198088847
2025-02-13,236.91,242.34,235.57,241.53,240.71,53614100.0,233.26,,,236.87,4.659999999999997,0.01967323848524516,45243300.0,8370800.0,0.1850174500975834,45079720.0,,,231.2,5.710000000000008,0.02469723183391004,236.96,5.3799999999999955,0.022704253882511738,230.68,4.889999999999986,0.021198196636032618
2025-02-14,241.25,245.55,240.99,244.6,243.77,40896200.0,236.654,,,241.53,3.069999999999993,0.012710636359872352,53614100.0,-12717900.0,-0.23721185285214152,45317520.0,,,236.91,4.340000000000003,0.018319192942467533,242.34,3.210000000000008,0.013245852933894575,235.57,5.420000000000016,0.023008023092923713
2025-02-18,244.15,245.18,241.84,244.47,243.64,48822500.0,240.01800000000003,,,244.6,-0.12999999999999545,-0.0005314799672935244,40896200.0,7926300.0,0.19381507328309233,48458900.0,,,241.25,2.9000000000000057,0.012020725388601106,245.55,-0.37000000000000455,-0.0015068214212990982,240.99,0.8499999999999943,0.0035271173077719986
2025-02-19,244.66,246.01,243.16,244.87,244.04,32204200.0,242.46800000000002,,,244.47,0.4000000000000057,0.001636192579866691,48822500.0,-16618300.0,-0.3403819960059399,44156060.0,,,244.15,0.5099999999999909,0.002088879787016218,245.18,0.8299999999999841,0.003385267966391936,241.84,1.3199999999999932,0.005458154151505079
2025-02-20,244.94,246.78,244.29,245.83,244.99,32316900.0,244.26,,,244.87,0.960000000000008,0.0039204475844325515,32204200.0,112700.0,0.0034995435377993545,41570780.0,,,244.66,0.28000000000000114,0.0011444453527345022,246.01,0.7700000000000102,0.0031299540669078585,243.16,1.1299999999999955,0.004647145912156647
2025-02-21,245.95,248.69,245.22,245.55,244.71,53197400.0,245.06400000000002,,,245.83,-0.28000000000000114,-0.0011389984948948495,32316900.0,20880500.0,0.646117047117762,41487440.0,,,244.94,1.009999999999991,0.004123458806238212,246.78,1.9099999999999966,0.007739687170759346,244.29,0.9300000000000068,0.0038069507552498383
2025-02-24,244.93,248.86,244.42,247.1,246.26,51326400.0,245.56400000000002,,,245.55,1.549999999999983,0.006312360008144946,53197400.0,-1871000.0,-0.035170891810502036,43573480.0,,,245.95,-1.0199999999999818,-0.004147184387070513,248.69,0.17000000000001592,0.0006835819695203416,245.22,-0.8000000000000114,-0.003262376641383291
2025-02-25,248.0,250.0,244.91,247.04,246.2,48013300.0,246.07800000000003,,,247.1,-0.060000000000002274,-0.00024281667341163882,51326400.0,-3313100.0,-0.06454962748215343,43411640.0,,,244.93,3.069999999999993,0.012534193443024533,248.86,1.1399999999999864,0.004580888853170428,244.42,0.4900000000000091,0.002004745929138352
2025-02-26,244.33,244.98,239.13,240.36,239.54,44433600.0,245.17600000000002,,,247.04,-6.679999999999978,-0.027040155440414382,48013300.0,-3579700.0,-0.07455642499057558,45857520.0,,,248.0,-3.6699999999999875,-0.014798387096774168,250.0,-5.02000000000001,-0.020079999999999987,244.91,-5.780000000000001,-0.023600506308439795
2025-02-27,239.41,242.46,237.06,237.3,236.49,41153600.0,243.46999999999997,,,240.36,-3.0600000000000023,-0.01273090364453322,44433600.0,-3280000.0,-0.07381801159482915,47624860.0,,,244.33,-4.920000000000016,-0.020136700364261517,244.98,-2.519999999999982,-0.010286554004408477,239.13,-2.069999999999993,-0.008656379375235224
2025-02-28,236.95,242.09,230.2,241.84,241.02,56833400.0,242.728,,,237.3,4.539999999999992,0.01913190054782965,41153600.0,15679800.0,0.38100676490027596,48352060.0,,,239.41,-2.460000000000008,-0.010275260014201648,242.46,-0.37000000000000455,-0.0015260249113255853,237.06,-6.860000000000014,-0.028937821648527873
2025-03-03,241.79,244.03,236.11,238.03,237.22,47184000.0,240.914,238.4895,,241.84,-3.8100000000000023,-0.015754217664571635,56833400.0,-9649400.0,-0.16978396506279758,47523580.0,45472815.0,4.509870347811104,236.95,4.840000000000003,0.020426250263768653,242.09,1.9399999999999977,0.008013548680242844,230.2,5.910000000000025,0.02567332754126861
2025-03-04,237.71,240.07,234.68,235.93,235.13,53798100.0,238.692,238.8855,,238.03,-2.0999999999999943,-0.008822417342351785,47184000.0,6614100.0,0.14017675483214642,48680540.0,44509555.0,9.370987869907934,241.79,-4.079999999999984,-0.016874146987054806,244.03,-3.960000000000008,-0.01622751301069547,236.11,-1.4300000000000068,-0.00605649908940753
