Date,Open,High,Low,Close,Adj Close,Volume,MA5,MA20,MA50,Previous day close price,Change in price,Percent change in price,Previous day volume,Change in volume,Percent change in volume,VMA5,VMA20,Volume_Osc,Previous day open price,Change in open price,Percent change in open price,Previous day high price,Change in high price,Percent change in high price,Previous day low price,Change in low price,Percent change in low price
2025-02-03,386.68,389.17,374.36,383.68,383.68,93732100,,,,,,,,,,,,,,,,,,,,,
2025-02-04,382.63,394.0,381.4,392.21,392.21,57072200,,,,383.68,8.529999999999973,0.02223206839032521,93732100.0,-36659900.0,-0.3911136099585948,,,,386.68,-4.050000000000011,-0.010473776766318443,389.17,4.829999999999984,0.012411028599326634,374.36,7.039999999999964,0.01880542793033424
2025-02-05,387.51,388.39,375.53,378.17,378.17,57223300,,,,392.21,-14.039999999999964,-0.03579714948624457,57072200.0,151100.0,0.0026475236630092436,,,,382.63,4.8799999999999955,0.012753835297807159,394.0,-5.610000000000014,-0.014238578680203062,381.4,-5.8700000000000045,-0.01539066596748817
2025-02-06,373.03,375.4,363.18,374.32,374.32,77918200,,,,378.17,-3.8500000000000227,-0.010180606605494913,57223300.0,20694900.0,0.3616516349109542,,,,387.51,-14.480000000000018,-0.037366777631545056,388.39,-12.990000000000009,-0.03344576327917814,375.53,-12.349999999999966,-0.03288685324741025
2025-02-07,370.19,380.55,360.34,361.62,361.62,70298300,378.0,,,374.32,-12.699999999999989,-0.033928189784141916,77918200.0,-7619900.0,-0.09779358352734024,71248820.0,,,373.03,-2.839999999999975,-0.007613328686700727,375.4,5.150000000000034,0.013718700053276578,363.18,-2.840000000000032,-0.007819813866402403
2025-02-10,356.21,362.7,350.51,350.73,350.73,77514900,371.40999999999997,,,361.62,-10.889999999999986,-0.030114484818317577,70298300.0,7216600.0,0.10265682100420626,68005380.0,,,370.19,-13.980000000000018,-0.03776439125854292,380.55,-17.850000000000023,-0.046905794245171495,360.34,-9.829999999999984,-0.0272797913082089
2025-02-11,345.8,349.37,325.1,328.5,328.5,118543400,358.668,,,350.73,-22.230000000000018,-0.06338208878624585,77514900.0,41028500.0,0.5292982381451825,80299620.0,,,356.21,-10.409999999999968,-0.029224333960304216,362.7,-13.329999999999984,-0.03675213675213673,350.51,-25.409999999999968,-0.0724943653533422
2025-02-12,329.94,346.4,329.12,336.51,336.51,105382700,350.336,,,328.5,8.009999999999991,0.024383561643835483,118543400.0,-13160700.0,-0.11102009896797294,89931500.0,,,345.8,-15.860000000000014,-0.045864661654135386,349.37,-2.9700000000000273,-0.008501016114720872,325.1,4.019999999999982,0.012365426022762138
2025-02-13,345.0,358.69,342.85,355.94,355.94,89441500,346.66,,,336.51,19.430000000000007,0.05773974027517759,105382700.0,-15941200.0,-0.15126961066664646,92236160.0,,,329.94,15.060000000000002,0.04564466266593925,346.4,12.29000000000002,0.035479214780600454,329.12,13.730000000000018,0.0417173067574137
2025-02-14,360.62,362.0,347.5,355.84,355.84,68277300,345.504,,,355.94,-0.10000000000002274,-0.00028094622689223137,89441500.0,-21164200.0,-0.23662617465046987,91831960.0,,,345.0,15.620000000000005,0.04527536231884066,358.69,3.3100000000000023,0.009228024199169127,342.85,4.649999999999977,0.013562782557969832
2025-02-18,355.01,359.1,350.02,354.11,354.11,51631700,346.18,,,355.84,-1.7299999999999613,-0.004861735611510709,68277300.0,-16645600.0,-0.24379405746858762,86655320.0,,,360.62,-5.610000000000014,-0.015556541511840716,362.0,-2.8999999999999773,-0.00801104972375688,347.5,2.519999999999982,0.0072517985611511016
2025-02-19,354.0,367.34,353.67,360.56,360.56,67094400,352.592,,,354.11,6.449999999999989,0.018214679054531002,51631700.0,15462700.0,0.2994807453560506,76365520.0,,,355.01,-1.009999999999991,-0.002844990281963833,359.1,8.239999999999952,0.022946254525201715,350.02,3.650000000000034,0.010427975544254675
